ship,type,time,zone,length,breath,dwt,h_s,t_p,dir,h_sm,h_0,wind_speed,wind_dir,mov_avg,mov_sig
Norman,Bulkcarrier,05/04/2021 10:00,6,"90,0","14,0",4536,"1,00","6,30",12,"0,07","2,91","11,73",125,"0,06","0,08"
Norman,Bulkcarrier,05/04/2021 11:00,6,"90,0","14,0",4536,"1,30","6,70",17,"0,08","2,74","24,97",63,"0,06","0,08"
Norman,Bulkcarrier,05/04/2021 19:00,6,"90,0","14,0",4536,"1,60","6,30",22,"0,10","2,39","28,58",5,"0,04","0,08"
Norman,Bulkcarrier,05/04/2021 20:00,6,"90,0","14,0",4536,"1,40","5,70",18,"0,10","2,73","27,87",13,"0,21","0,30"
Norman,Bulkcarrier,05/04/2021 21:00,6,"90,0","14,0",4536,"1,30","5,70",19,"0,09","2,98","33,03",15,"0,10","0,16"
Norman,Bulkcarrier,05/04/2021 22:00,6,"90,0","14,0",4536,"1,30","6,10",16,"0,09","3,09","37,25",18,"0,10","0,15"
Norman,Bulkcarrier,05/04/2021 23:00,6,"90,0","14,0",4536,"1,30","5,70",16,"0,09","3,02","34,88",22,"0,11","0,16"
